robot,arm,step,time,estimate_x,estimate_y,truth_x,truth_y,position_error,position_nees,coverage95,landmark_available,landmark_used,rejected,outage_age_seconds,topology_components,topology_directed_edges,clock_alignment_error
1,odometry_only,0,1248444191.043,1.3800610767156953,-3.7718220039430728,1.3800610767156953,-3.7718220039430728,0.0,0.0,True,0,0,0,0.5,2,3,0.0
1,odometry_only,1,1248444191.543,1.3800610767156953,-3.7718220039430728,1.3800365400879293,-3.771868420057793,5.250239811522656e-05,5.803161700736306e-08,True,2,0,0,0.0,1,5,0.0
1,odometry_only,2,1248444192.043,1.3800610767156953,-3.7718220039430728,1.379993902798346,-3.7718901999877383,9.57237466884224e-05,9.905984518993791e-08,True,5,0,0,0.0,1,6,0.0
1,odometry_only,3,1248444192.543,1.3800610767156953,-3.7718220039430728,1.380039425,-3.77188095,6.279677077528957e-05,2.8679523053121912e-08,True,8,0,0,0.0,1,6,0.0
1,odometry_only,4,1248444193.043,1.3800610767156953,-3.7718220039430728,1.3800502076807395,-3.771873926893592,5.3048362005672764e-05,1.541988335060222e-08,True,4,0,0,0.0,1,6,0.0
1,odometry_only,5,1248444193.543,1.3800610767156953,-3.7718220039430728,1.380028277790827,-3.7718762222524416,6.336714088016922e-05,1.7650085904735002e-08,True,4,0,0,0.0,1,6,0.0
1,odometry_only,6,1248444194.043,1.3800610767156953,-3.7718220039430728,1.3800449299907016,-3.7716916897169965,0.00013131075449433202,6.32752816362229e-08,True,6,0,0,0.0,1,6,0.0
1,odometry_only,7,1248444194.543,1.3813156217517975,-3.7383455029796746,1.3812056999929356,-3.7422028768115427,0.0038589397082427024,4.690209569231088e-05,True,2,0,0,0.0,1,6,0.0
1,odometry_only,8,1248444195.043,1.382603642656011,-3.7048702732993526,1.3823524654396748,-3.7076634813328635,0.0028044787594981553,2.169677959305005e-05,True,0,0,0,0.5,1,6,0.0
1,odometry_only,9,1248444195.543,1.383774492606432,-3.6713907405906423,1.3841264551325536,-3.671022221139337,0.0005095921955686009,6.367437030681497e-07,True,0,0,0,1.0,1,6,0.0
1,odometry_only,10,1248444196.043,1.3850959880907363,-3.6379168156686235,1.3851971935054,-3.6356573088945026,0.002261772180891673,1.1305221178689378e-05,True,0,0,0,1.5,2,5,0.0
1,odometry_only,11,1248444196.543,1.3860659409749299,-3.6044308605321422,1.386630520261282,-3.5990956601810757,0.005364989520641958,5.7854210586714054e-05,True,1,0,0,0.0,3,4,0.0
1,odometry_only,12,1248444197.043,1.3871196056286605,-3.5709474349189008,1.3884343255841267,-3.563039532498278,0.00801644617367254,0.00011844530957028219,True,2,0,0,0.0,3,4,0.0
1,odometry_only,13,1248444197.543,1.3878216426908945,-3.5374547917869643,1.38975259291474,-3.527953367057501,0.00969565060512327,0.00015997254149741256,True,2,0,0,0.0,3,4,0.0
1,odometry_only,14,1248444198.043,1.3886074090798732,-3.5039640084103105,1.3914764761586407,-3.4910482592727754,0.013230575259081008,0.0002766555016632966,True,2,0,0,0.0,3,4,0.0
1,odometry_only,15,1248444198.543,1.389359684298174,-3.470472456012789,1.392337523862372,-3.478904853801131,0.00894275466122958,0.00011784392842000985,True,0,0,0,0.5,3,4,0.0
1,odometry_only,16,1248444199.043,1.3901119595164746,-3.436980903615267,1.3926296874511985,-3.4480665006328044,0.011367911645879327,0.00017869293401788855,True,2,0,0,0.0,3,4,0.0
1,odometry_only,17,1248444199.543,1.3908642347347753,-3.4034893512177455,1.3930745609556296,-3.4129147979557155,0.009681146017538682,0.00012197219666577987,True,4,0,0,0.0,3,3,0.0
1,odometry_only,18,1248444200.043,1.3908642347347753,-3.4034893512177455,1.3928969231597714,-3.3798084565995294,0.023767974085987416,0.000695242753125782,True,2,0,0,0.0,3,3,0.0
1,odometry_only,19,1248444200.543,1.391616509953076,-3.369997798820224,1.3921934241687186,-3.364764324246821,0.005265176741825922,3.232461239914392e-05,True,1,0,0,0.0,2,4,0.0
1,odometry_only,20,1248444201.043,1.3923687851713766,-3.336506246422702,1.3924432171052898,-3.3496914230789523,0.013185386743258917,0.0001926317350431918,True,0,0,0,0.5,2,4,0.0
1,odometry_only,21,1248444201.543,1.3931210603896773,-3.3030146940251806,1.391697712823977,-3.3175019523896565,0.014557011135939399,0.00022361828882250132,True,0,0,0,1.0,2,5,0.0
1,odometry_only,22,1248444202.043,1.393873335607978,-3.269523141627659,1.3905251575063362,-3.284000522052276,0.014859503375261129,0.00022221055310583915,True,3,0,0,0.0,2,4,0.0
1,odometry_only,23,1248444202.543,1.3946256108262787,-3.2360315892301372,1.3892388815499914,-3.2496042076051066,0.014602493685962215,0.00020471478743387978,True,1,0,0,0.0,2,4,0.0
1,odometry_only,24,1248444203.043,1.3953778860445794,-3.2025400368326156,1.388215196801072,-3.2152568455499875,0.014595250636877768,0.00019519191323994267,True,1,0,0,0.0,2,4,0.0
1,odometry_only,25,1248444203.543,1.39613016126288,-3.169048484435094,1.3867026064802233,-3.1817098053286603,0.01578568452585621,0.00021800583766800268,True,1,0,0,0.0,2,4,0.0
1,odometry_only,26,1248444204.043,1.3968824364811807,-3.1355569320375722,1.3855090106368304,-3.1478987603622244,0.016783192242005727,0.00023554838400980966,True,0,0,0,0.5,2,3,0.0
1,odometry_only,27,1248444204.543,1.3976347116994814,-3.1020653796400506,1.3839502409155269,-3.1143785458872815,0.018408661104731404,0.000271121748707284,True,0,0,0,1.0,1,4,0.0
1,odometry_only,28,1248444205.043,1.398386986917782,-3.068573827242529,1.382486927518073,-3.0817882788438453,0.020674467829615684,0.0003282916647231602,True,1,0,0,0.0,1,4,0.0
1,odometry_only,29,1248444205.543,1.3991392621360828,-3.0350822748450073,1.3818479591985948,-3.047003712248369,0.021002614766696258,0.0003245622275780751,True,1,0,0,0.0,1,5,0.0
